iter	Passed	Remaining
0	5	541
1	9	482
2	12	410
3	15	375
4	19	365
5	21	343
6	24	326
7	42	485
8	48	493
9	52	473
10	56	455
11	63	466
12	66	447
13	71	439
14	85	486
15	89	468
16	111	544
17	115	527
18	120	512
19	126	506
20	128	484
21	131	465
22	134	449
23	137	434
24	141	423
25	144	410
26	158	428
27	162	418
28	165	404
29	168	393
30	177	396
31	181	385
32	183	373
33	190	369
34	192	358
35	195	347
36	204	348
37	207	339
38	211	330
39	219	329
40	223	321
41	224	309
42	227	301
43	230	293
44	234	287
45	236	278
46	256	289
47	260	282
48	267	278
49	271	271
50	275	264
51	277	256
52	288	255
53	291	248
54	297	243
55	301	237
56	304	229
57	308	223
58	316	219
59	319	213
60	323	206
61	328	201
62	333	196
63	339	190
64	350	188
65	353	182
66	359	177
67	362	170
68	367	164
69	369	158
70	376	153
71	380	148
72	384	142
73	390	137
74	393	131
75	396	125
76	398	118
77	400	113
78	408	108
79	412	103
80	416	97
81	428	94
82	432	88
83	439	83
84	443	78
85	454	74
86	459	68
87	462	63
88	466	57
89	469	52
90	472	46
91	477	41
92	481	36
93	486	31
94	489	25
95	493	20
96	501	15
97	505	10
98	508	5
99	512	0
